x,y
-12.758,-3.43463
-12.787,-3.44242
-12.816,-3.45025
-12.8449,-3.45811
-12.8739,-3.46601
-12.9028,-3.47392
-12.9318,-3.48179
-12.9607,-3.48963
-12.9897,-3.49743
-13.0187,-3.50521
-13.0476,-3.51299
-13.0766,-3.52083
-13.1055,-3.52868
-13.1345,-3.53648
-13.1635,-3.54426
-13.1925,-3.55199
-13.2215,-3.55971
-13.2504,-3.56747
-13.2794,-3.57526
-13.3084,-3.5831
-13.3373,-3.59094
-13.3663,-3.59874
-13.3953,-3.60653
-13.4242,-3.61427
-13.4532,-3.62199
-13.4822,-3.62972
-13.5112,-3.63751
-13.5402,-3.6453
-13.5691,-3.65305
-13.5981,-3.66078
-13.6271,-3.66851
-13.6561,-3.67628
-13.6851,-3.68408
-13.714,-3.69192
-13.743,-3.69978
-13.7719,-3.70763
-13.8009,-3.71549
-13.8298,-3.72334
-13.8588,-3.73115
-13.8878,-3.73893
-13.9167,-3.74672
-13.9457,-3.75456
-13.9747,-3.76241
-14.0036,-3.77027
-14.0326,-3.77812
-14.0615,-3.78592
-14.0905,-3.7937
-14.1195,-3.80149
-14.1485,-3.80928
-14.1774,-3.81712
-14.2064,-3.82497
-14.2353,-3.83278
-14.2643,-3.84057
-14.2933,-3.8483
-14.3223,-3.85603
-14.3512,-3.8638
-14.3802,-3.87159
-14.4092,-3.87943
-14.4381,-3.88728
-14.4671,-3.89512
-14.4961,-3.90292
-14.525,-3.9107
-14.554,-3.91848
-14.583,-3.92632
-14.6119,-3.93417
-14.6409,-3.94197
-14.6699,-3.94975
-14.6988,-3.95748
-14.7278,-3.96519
-14.7568,-3.97296
-14.7858,-3.98074
-14.8147,-3.98857
-14.8437,-3.99642
-14.8727,-4.00421
-14.9016,-4.01199
-14.9306,-4.01973
-14.9596,-4.02744
-14.9886,-4.03517
-15.0176,-4.04295
-15.0466,-4.05073
-15.0755,-4.05846
-15.1045,-4.06618
-15.1335,-4.0739
-15.1625,-4.08167
-15.1915,-4.08945
-15.2204,-4.09729
-15.2494,-4.10513
-15.2784,-4.11292
-15.3073,-4.12071
-15.3363,-4.12849
-15.3653,-4.13622
-15.3943,-4.14394
-15.4233,-4.15171
-15.4522,-4.15949
-15.4812,-4.16728
-15.5102,-4.17507
-15.5391,-4.18286
-15.5681,-4.19059
-15.5971,-4.19832
-15.6261,-4.20605
-15.6551,-4.21384
-15.684,-4.22164
-15.713,-4.22944
-15.742,-4.23724
-15.771,-4.245
-15.7999,-4.25274
-15.8289,-4.26048
-15.8579,-4.26827
-15.8869,-4.27608
-15.9158,-4.28394
-15.9448,-4.2918
-15.9737,-4.29966
-16.0027,-4.30751
-16.0316,-4.31537
-16.0606,-4.32326
-16.0895,-4.33117
-16.1184,-4.33913
-16.1474,-4.3471
-16.1763,-4.35501
-16.2052,-4.36292
-16.2342,-4.37077
-16.2631,-4.37861
-16.2921,-4.38641
-16.3211,-4.3942
-16.3501,-4.40199
-16.379,-4.40973
-16.408,-4.41746
-16.437,-4.42514
-16.466,-4.43281
-16.495,-4.44053
-16.524,-4.44826
-16.553,-4.45605
-16.5819,-4.46384
-16.6109,-4.47164
-16.6399,-4.47942
-16.6689,-4.48722
-16.6978,-4.49505
-16.7268,-4.5029
-16.7557,-4.5108
-16.7847,-4.51871
-16.8136,-4.52657
-16.8426,-4.53441
-16.8715,-4.5422
-16.9005,-4.54998
-16.9295,-4.55775
-16.9584,-4.56558
-16.9874,-4.57342
-17.0164,-4.58125
-17.0453,-4.58904
-17.0743,-4.59681
-17.1033,-4.60453
-17.1323,-4.61225
-17.1613,-4.62002
-17.1902,-4.6278
-17.2192,-4.63553
-17.2482,-4.64325
-17.2772,-4.65091
-17.3062,-4.65857
-17.3352,-4.66628
-17.3642,-4.674
-17.3932,-4.68178
-17.4222,-4.68956
-17.4511,-4.69729
-17.4801,-4.70501
-17.5091,-4.71273
-17.5381,-4.72049
-17.5671,-4.72826
-17.596,-4.73609
-17.625,-4.74393
-17.654,-4.75177
-17.6829,-4.75956
-17.7119,-4.76733
-17.7409,-4.77505
-17.7699,-4.78277
-17.7989,-4.79054
-17.8278,-4.79832
-17.8568,-4.80606
-17.8858,-4.81378
-17.9148,-4.82144
-17.9438,-4.82911
-17.9728,-4.83681
-18.0018,-4.84454
-18.0308,-4.85231
-18.0597,-4.8601
-18.0887,-4.8679
-18.1177,-4.87568
-18.1467,-4.88342
-18.1757,-4.89115
-18.2046,-4.89892
-18.2336,-4.90671
-18.2626,-4.91456
-18.2915,-4.92242
-18.3205,-4.93023
-18.3494,-4.93802
-18.3784,-4.94577
-18.4074,-4.9535
-18.4364,-4.96128
-18.4654,-4.96909
-18.4943,-4.97694
-18.5233,-4.9848
-18.5522,-4.99261
-18.5812,-5.0004
-18.6102,-5.0082
-18.6391,-5.01604
-18.6681,-5.0239
-18.697,-5.03181
-18.726,-5.03973
-18.7549,-5.0476
-18.7839,-5.05546
-18.8128,-5.06327
-18.8418,-5.07106
-18.8708,-5.07886
-18.8997,-5.08671
-18.9287,-5.09457
-18.9576,-5.10238
-18.9866,-5.11018
-19.0156,-5.11797
-19.0445,-5.12576
-19.0735,-5.1336
-19.1024,-5.14145
-19.1314,-5.14935
-19.1603,-5.15726
-19.1893,-5.16517
-19.2182,-5.17303
-19.2472,-5.18087
-19.2761,-5.18866
-19.3051,-5.19644
-19.3341,-5.20428
-19.363,-5.21212
-19.392,-5.21992
-19.421,-5.2277
-19.45,-5.23544
-19.479,-5.24315
-19.5079,-5.25088
-19.5369,-5.25865
-19.5659,-5.26643
-19.5949,-5.27422
-19.6238,-5.282
-19.6528,-5.28973
-19.6818,-5.29745
-19.7108,-5.30522
-19.7398,-5.313
-19.7687,-5.32084
-19.7977,-5.32868
-19.8266,-5.33648
-19.8556,-5.34427
-19.8846,-5.352
-19.9136,-5.35972
-19.9426,-5.36745
-19.9716,-5.37523
-20.0005,-5.38302
-20.0295,-5.39081
-20.0585,-5.39856
-20.0875,-5.40628
-20.1165,-5.41401
-20.1454,-5.42178
-20.1744,-5.42957
-20.2034,-5.43741
-20.2323,-5.44526
-20.2613,-5.45312
-20.2902,-5.46096
-20.3192,-5.46876
-20.3482,-5.47654
-20.3771,-5.48433
-20.4061,-5.49217
-20.435,-5.50002
-20.464,-5.50783
-20.493,-5.51561
-20.522,-5.52334
-20.551,-5.53106
-20.5799,-5.53883
-20.6089,-5.54662
-20.6379,-5.55445
-20.6668,-5.5623
-20.6958,-5.57015
-20.7247,-5.57796
-20.7537,-5.58574
-20.7827,-5.59348
-20.8117,-5.60121
-20.8407,-5.60899
-20.8696,-5.61678
-20.8986,-5.62458
-20.9276,-5.63238
-20.9566,-5.64012
-20.9855,-5.64785
-21.0145,-5.65564
-21.0435,-5.66344
-21.0724,-5.67129
-21.1014,-5.67915
-21.1304,-5.68696
-21.1593,-5.69475
-21.1883,-5.70254
-21.2173,-5.71038
-21.2462,-5.71824
-21.2751,-5.72615
-21.3041,-5.73406
-21.333,-5.74193
-21.362,-5.74978
-21.391,-5.75758
-21.4199,-5.76536
-21.4489,-5.77315
-21.4779,-5.78099
-21.5068,-5.78884
-21.5358,-5.79667
-21.5647,-5.80446
-21.5937,-5.81224
-21.6227,-5.82006
-21.6516,-5.8279
-21.6806,-5.83574
-21.7096,-5.84358
-21.7385,-5.85138
-21.7675,-5.85916
-21.7965,-5.8669
-21.8255,-5.87462
-21.8545,-5.88229
-21.8835,-5.88996
-21.9125,-5.89767
-21.9415,-5.9054
-21.9704,-5.91313
-21.9994,-5.92086
-22.0284,-5.92859
-22.0574,-5.93636
-22.0864,-5.94415
-22.1153,-5.95198
-22.1443,-5.95982
-22.1732,-5.96767
-22.2022,-5.97551
-22.2312,-5.98335
-22.2601,-5.99113
-22.2891,-5.9989
-22.3181,-6.00673
-22.347,-6.01456
-22.376,-6.0224
-22.405,-6.03018
-22.4339,-6.03795
-22.4629,-6.04568
-22.4919,-6.05339
-22.5209,-6.0611
-22.5499,-6.06881
-22.5789,-6.07653
-22.6079,-6.08425
-22.6369,-6.09197
-22.6659,-6.09963
-22.6949,-6.10729
-22.7239,-6.11499
-22.7529,-6.12272
-22.7818,-6.13049
-22.8108,-6.13827
-22.8398,-6.146
-22.8688,-6.15371
-22.8978,-6.16143
-22.9268,-6.16919
-22.9557,-6.17697
-22.9847,-6.1848
-23.0136,-6.19263
-23.0426,-6.20042
-23.0716,-6.2082
-23.1006,-6.21592
-23.1296,-6.22363
-23.1586,-6.23134
-23.1875,-6.2391
-23.2165,-6.24689
-23.2455,-6.25467
-23.2745,-6.2624
-23.3035,-6.27012
-23.3325,-6.27778
-23.3615,-6.28544
-23.3905,-6.29314
-23.4195,-6.30087
-23.4484,-6.30864
-23.4774,-6.31642
-23.5064,-6.3242
-23.5354,-6.33192
-23.5644,-6.33963
-23.5933,-6.34739
-23.6223,-6.35516
-23.6513,-6.36298
-23.6802,-6.37081
-23.7092,-6.37864
-23.7382,-6.38642
-23.7672,-6.39419
-23.7961,-6.4019
-23.8251,-6.40961
-23.8541,-6.41731
-23.8831,-6.42502
-23.9121,-6.43273
-23.9411,-6.44038
-23.9701,-6.44803
-23.9991,-6.45572
-24.0281,-6.46343
-24.0571,-6.47114
-24.0861,-6.47886
-24.1151,-6.48657
-24.1441,-6.49424
-24.1731,-6.50189
-24.2021,-6.50954
-24.2311,-6.51724
-24.2601,-6.52496
-24.2891,-6.53274
-24.318,-6.54053
-24.347,-6.54828
-24.376,-6.556
-24.405,-6.56368
-24.434,-6.57135
-24.463,-6.57907
-24.492,-6.5868
-24.521,-6.59458
-24.5499,-6.60237
-24.5789,-6.61015
-24.6079,-6.61794
-24.6368,-6.62576
-24.6658,-6.6336
-24.6948,-6.64149
-24.7237,-6.64938
-24.7526,-6.65727
-24.7816,-6.66511
-24.8106,-6.67293
-24.8395,-6.6807
-24.8685,-6.68846
-24.8975,-6.69621
-24.9265,-6.70397
-24.9555,-6.71172
-24.9845,-6.71942
-25.0135,-6.7271
-25.0425,-6.73474
-25.0715,-6.74236
-25.1005,-6.75005
-25.1295,-6.75774
-25.1585,-6.76539
-25.1875,-6.77303
-25.2165,-6.78062
-25.2455,-6.7882
-25.2746,-6.79573
-25.3036,-6.80326
-25.3327,-6.81084
-25.3617,-6.81843
-25.3907,-6.82607
-25.4197,-6.83373
-25.4487,-6.84138
-25.4777,-6.84903
-25.5067,-6.85673
-25.5357,-6.86443
-25.5647,-6.87218
-25.5937,-6.87995
-25.6226,-6.88776
-25.6516,-6.89559
-25.6805,-6.9034
-25.7095,-6.91118
-25.7385,-6.91894
-25.7675,-6.9267
-25.7965,-6.93441
-25.8255,-6.94211
-25.8545,-6.94977
-25.8835,-6.95741
-25.9125,-6.965
-25.9415,-6.97258
-25.9705,-6.98021
-25.9996,-6.98786
-26.0285,-6.99556
-26.0575,-7.00327
-26.0865,-7.01093
-26.1156,-7.01858
-26.1446,-7.02622
-26.1736,-7.03387
-26.2026,-7.04156
-26.2316,-7.04927
-26.2605,-7.05703
-26.2895,-7.0648
-26.3185,-7.07257
-26.3475,-7.08028
-26.3765,-7.08798
-26.4055,-7.09569
-26.4345,-7.10345
-26.4634,-7.11121
-26.4924,-7.11893
-26.5214,-7.12662
-26.5504,-7.13426
-26.5794,-7.1419
-26.6084,-7.14957
-26.6374,-7.15726
-26.6664,-7.16501
-26.6954,-7.17275
-26.7244,-7.18046
-26.7534,-7.18814
-26.7824,-7.19577
-26.8114,-7.20338
-26.8405,-7.211
-26.8695,-7.21867
-26.8985,-7.22634
-26.9275,-7.23398
-26.9565,-7.24158
-26.9855,-7.24914
-27.0146,-7.25669
-27.0436,-7.26423
-27.0726,-7.27183
-27.1016,-7.27945
-27.1306,-7.28705
-27.1597,-7.29462
-27.1887,-7.30216
-27.2178,-7.30965
-27.2468,-7.31714
-27.2759,-7.32467
-27.3049,-7.33222
-27.3339,-7.33977
-27.363,-7.34731
-27.392,-7.35479
-27.4211,-7.36227
-27.4501,-7.36979
-27.4791,-7.37732
-27.5082,-7.3849
-27.5372,-7.3925
-27.5662,-7.40009
-27.5953,-7.40764
-27.6243,-7.41517
-27.6533,-7.42265
-27.6824,-7.43012
-27.7115,-7.43753
-27.7405,-7.44494
-27.7696,-7.4524
-27.7987,-7.45986
-27.8277,-7.46727
-27.8568,-7.47467
-27.8859,-7.48211
-27.9149,-7.48956
-27.944,-7.49707
-27.973,-7.50458
-28.0021,-7.51209
-28.0311,-7.51955
-28.0602,-7.52698
-28.0893,-7.53436
-28.1183,-7.54174
-28.1474,-7.54915
-28.1765,-7.55659
-28.2055,-7.56401
-28.2346,-7.5714
-28.2637,-7.57876
-28.2928,-7.58609
-28.3219,-7.59339
-28.351,-7.60065
-28.3801,-7.60791
-28.4092,-7.61516
-28.4383,-7.62241
-28.4674,-7.62961
-28.4966,-7.63679
-28.5257,-7.64402
-28.5548,-7.65127
-28.5839,-7.65856
-28.613,-7.66586
-28.6421,-7.67322
-28.6712,-7.68058
-28.7002,-7.68794
-28.7293,-7.69525
-28.7584,-7.70254
-28.7875,-7.70983
-28.8166,-7.71713
-28.8457,-7.72443
-28.8748,-7.73172
